School Decile,Māori,European/ Pākehā,Immersion Level 1,Immersion None,clusters,cluster
8.0,138,959,0,1144,1,purple
8.0,144,975,0,1175,1,purple
8.0,154,986,0,1201,1,purple
8.0,144,1014,0,1222,1,purple
7.0,141,999,0,1171,1,purple
7.0,179,978,0,1201,1,purple
7.0,182,991,0,1238,1,purple
7.0,207,1043,0,1317,1,purple
7.0,223,1056,0,1349,1,purple
7.0,231,1031,0,907,1,purple
7.0,247,1022,0,767,2,dark purple
7.0,250,1010,0,706,2,dark purple
7.0,281,978,0,898,1,purple
7.0,289,961,0,924,1,purple
9.0,164,1421,0,1470,1,purple
9.0,177,1499,0,1644,1,purple
9.0,203,1569,0,1671,1,purple
9.0,215,1593,0,1738,1,purple
9.0,227,1534,0,1649,1,purple
9.0,235,1451,0,1632,1,purple
9.0,241,1466,0,1481,1,purple
9.0,261,1431,0,1339,1,purple
9.0,283,1425,0,1295,1,purple
9.0,272,1406,0,1248,1,purple
9.0,283,1353,0,1309,1,purple
9.0,292,1319,0,1253,1,purple
9.0,271,1257,0,1170,1,purple
9.0,286,1262,0,1209,1,purple
9.0,288,1253,0,1251,1,purple
7.0,192,423,0,464,2,dark purple
7.0,178,400,0,571,2,dark purple
7.0,158,357,0,499,2,dark purple
7.0,163,355,0,491,2,dark purple
7.0,164,398,0,531,2,dark purple
7.0,170,417,0,549,2,dark purple
7.0,184,433,0,626,2,dark purple
7.0,189,479,0,716,2,dark purple
7.0,204,503,0,672,2,dark purple
7.0,194,537,0,518,2,dark purple
7.0,224,564,0,571,2,dark purple
7.0,222,572,0,793,2,dark purple
7.0,194,534,0,696,2,dark purple
7.0,211,501,0,684,2,dark purple
7.0,224,453,0,652,2,dark purple
10.0,69,1339,0,1483,1,purple
10.0,64,1309,0,1444,1,purple
10.0,73,1374,0,1514,1,purple
10.0,73,1447,0,1604,1,purple
10.0,77,1446,0,1622,1,purple
10.0,84,1375,0,1554,1,purple
10.0,86,1305,0,1498,1,purple
10.0,88,1241,0,1460,1,purple
10.0,86,1131,0,1375,1,purple
10.0,94,1035,0,1290,1,purple
10.0,100,1041,0,1338,1,purple
10.0,118,1064,0,1430,1,purple
10.0,134,1010,0,1415,1,purple
10.0,146,1041,0,1496,1,purple
10.0,158,1085,0,1566,1,purple
10.0,126,1695,0,2688,1,purple
10.0,145,1665,0,2719,1,purple
10.0,156,1669,0,2692,1,purple
10.0,181,1622,0,2683,1,purple
10.0,197,1566,0,2744,1,purple
10.0,211,1577,0,2741,1,purple
10.0,200,1606,0,2795,1,purple
10.0,192,1618,0,2858,1,purple
10.0,190,1587,0,2832,1,purple
10.0,183,1577,0,2840,1,purple
10.0,182,1582,0,2892,1,purple
10.0,209,1524,0,2927,1,purple
10.0,244,1475,0,3020,1,purple
10.0,235,1456,0,3150,1,purple
10.0,263,1398,0,3345,1,purple
10.0,25,1169,0,494,2,dark purple
10.0,28,1141,0,492,2,dark purple
10.0,26,1122,0,508,2,dark purple
10.0,34,1069,0,524,2,dark purple
10.0,37,1037,0,523,2,dark purple
10.0,35,975,0,501,2,dark purple
10.0,31,941,0,510,2,dark purple
10.0,33,887,0,506,2,dark purple
10.0,36,793,0,478,2,dark purple
10.0,38,760,0,480,2,dark purple
10.0,43,745,0,507,2,dark purple
10.0,46,742,0,515,2,dark purple
10.0,49,732,0,534,2,dark purple
10.0,47,704,0,535,2,dark purple
10.0,46,721,0,560,2,dark purple
7.0,123,307,0,690,2,dark purple
7.0,143,304,0,668,2,dark purple
7.0,124,284,0,642,2,dark purple
7.0,132,260,0,622,2,dark purple
7.0,125,220,0,555,2,dark purple
6.0,127,181,0,456,2,dark purple
6.0,100,161,0,385,2,dark purple
6.0,80,142,0,353,0,pink
6.0,73,151,0,363,0,pink
6.0,69,158,0,348,0,pink
6.0,80,164,0,407,2,dark purple
6.0,83,159,0,391,2,dark purple
6.0,90,169,0,408,2,dark purple
6.0,89,181,0,502,2,dark purple
6.0,104,175,0,564,2,dark purple
6.0,101,359,0,659,2,dark purple
6.0,111,336,0,649,2,dark purple
6.0,110,356,0,683,2,dark purple
6.0,116,343,0,631,2,dark purple
6.0,111,339,0,612,2,dark purple
6.0,117,338,0,599,2,dark purple
6.0,109,310,0,564,2,dark purple
6.0,115,291,0,594,2,dark purple
6.0,115,259,0,533,2,dark purple
6.0,116,238,0,519,2,dark purple
6.0,102,224,0,488,2,dark purple
6.0,102,189,0,424,2,dark purple
6.0,106,189,0,393,2,dark purple
6.0,112,175,0,357,2,dark purple
6.0,110,181,0,381,2,dark purple
9.0,178,645,0,1046,1,purple
9.0,182,613,0,1009,2,dark purple
9.0,179,610,0,1005,2,dark purple
8.0,180,575,0,949,2,dark purple
8.0,174,577,0,945,2,dark purple
7.0,163,549,0,889,2,dark purple
7.0,144,557,0,909,2,dark purple
7.0,146,515,0,883,2,dark purple
7.0,161,541,0,904,2,dark purple
7.0,167,534,0,874,2,dark purple
7.0,183,597,0,947,2,dark purple
7.0,208,647,0,998,2,dark purple
7.0,181,681,0,1057,1,purple
7.0,166,673,0,1107,1,purple
7.0,187,694,0,1170,1,purple
2.0,145,0,0,0,0,pink
2.0,139,0,0,0,0,pink
2.0,101,0,0,0,0,pink
2.0,108,0,0,0,0,pink
2.0,104,0,0,0,0,pink
3.0,84,0,0,0,0,pink
3.0,48,0,0,0,0,pink
3.0,13,0,0,0,0,pink
3.0,5,0,0,0,0,pink
10.0,53,619,0,825,2,dark purple
10.0,52,623,0,551,2,dark purple
10.0,55,631,0,648,2,dark purple
10.0,67,641,0,790,2,dark purple
10.0,62,657,0,817,2,dark purple
9.0,61,632,0,868,2,dark purple
9.0,62,617,0,894,2,dark purple
9.0,49,637,0,915,2,dark purple
9.0,46,621,0,870,2,dark purple
9.0,54,592,0,826,2,dark purple
9.0,62,545,0,795,2,dark purple
9.0,63,535,0,770,2,dark purple
9.0,66,528,0,701,2,dark purple
9.0,66,524,0,733,2,dark purple
9.0,69,533,0,825,2,dark purple
10.0,79,1119,0,1390,1,purple
10.0,84,1092,0,1346,1,purple
10.0,82,1071,0,1343,1,purple
10.0,96,1094,0,1355,1,purple
10.0,87,1106,0,1417,1,purple
10.0,86,1085,0,1420,1,purple
10.0,93,1078,0,1441,1,purple
10.0,97,1075,0,1445,1,purple
10.0,90,1050,0,1370,1,purple
10.0,99,1047,0,1362,1,purple
10.0,104,1145,0,1508,1,purple
10.0,139,1178,0,1613,1,purple
10.0,144,1180,0,1634,1,purple
10.0,162,1241,0,1421,1,purple
10.0,164,1209,0,1453,1,purple
9.0,169,1024,0,1940,1,purple
9.0,168,1026,0,1959,1,purple
9.0,168,1048,0,2025,1,purple
9.0,157,1014,0,2021,1,purple
9.0,144,1028,0,2040,1,purple
9.0,141,1017,0,2007,1,purple
9.0,139,1024,0,1959,1,purple
9.0,151,1042,0,1920,1,purple
9.0,161,1068,0,1970,1,purple
9.0,194,1044,0,1945,1,purple
9.0,198,1078,0,1999,1,purple
9.0,212,1131,0,2115,1,purple
9.0,222,1163,0,2118,1,purple
9.0,258,1166,0,2205,1,purple
9.0,272,1144,0,2233,1,purple
9.0,119,1068,0,1982,1,purple
9.0,126,1072,0,2032,1,purple
9.0,133,1027,0,1976,1,purple
9.0,153,945,0,1953,1,purple
9.0,153,972,0,1974,1,purple
9.0,156,916,0,1919,1,purple
9.0,139,858,0,1808,1,purple
9.0,155,895,0,1845,1,purple
9.0,153,952,0,1877,1,purple
9.0,159,986,0,1947,1,purple
9.0,184,1000,0,1973,1,purple
9.0,194,1005,0,1970,1,purple
9.0,201,925,0,1827,1,purple
9.0,216,884,0,1813,1,purple
9.0,230,874,0,1869,1,purple
9.0,53,633,0,786,2,dark purple
9.0,59,637,0,794,2,dark purple
9.0,59,646,0,800,2,dark purple
9.0,76,655,0,836,2,dark purple
9.0,86,653,0,879,2,dark purple
9.0,89,636,0,826,2,dark purple
9.0,95,660,0,884,2,dark purple
9.0,99,643,0,665,2,dark purple
9.0,101,635,0,960,2,dark purple
9.0,123,632,0,996,2,dark purple
9.0,125,618,0,989,2,dark purple
9.0,109,586,0,939,2,dark purple
9.0,120,573,0,945,2,dark purple
9.0,125,577,0,1020,2,dark purple
9.0,130,593,0,1054,2,dark purple
6.0,269,581,0,1102,1,purple
6.0,279,606,0,1177,1,purple
6.0,293,624,0,1202,1,purple
6.0,285,647,0,1203,1,purple
6.0,267,648,0,1216,1,purple
5.0,272,604,0,1167,1,purple
5.0,280,555,0,1119,1,purple
5.0,282,515,0,1066,2,dark purple
5.0,282,472,0,1019,2,dark purple
5.0,276,457,0,986,2,dark purple
5.0,337,456,0,1037,2,dark purple
5.0,358,480,0,1127,2,dark purple
5.0,377,464,0,1149,1,purple
5.0,362,455,0,1205,1,purple
5.0,366,431,0,1209,1,purple
10.0,61,1093,0,2203,1,purple
10.0,58,1048,0,2259,1,purple
10.0,65,971,0,2205,1,purple
10.0,60,930,0,2239,1,purple
10.0,60,880,0,2227,1,purple
9.0,70,825,0,2187,1,purple
9.0,84,820,0,2166,1,purple
9.0,92,817,0,2169,1,purple
9.0,89,796,0,2138,1,purple
9.0,83,811,0,2145,1,purple
9.0,81,831,0,2239,1,purple
9.0,82,839,0,2269,1,purple
9.0,83,777,0,2181,1,purple
9.0,83,776,0,2330,1,purple
9.0,92,706,0,2486,1,purple
8.0,219,802,0,1066,1,purple
8.0,224,847,0,1106,1,purple
8.0,202,934,0,1197,1,purple
8.0,218,979,0,1229,1,purple
